id,user_id,content,sentiment_score,created_at
7c60f96e-aebb-4031-b583-d4ebe12837f7,4a0bc4b3-3ae8-4296-b637-bc39d0fbd76e,Skipped dinner to finish the tournament raid. My head aches and eyes are burning.,-0.306,2026-06-11T14:53:51.006955+00:00
cc1a1d39-4bcf-417b-945b-d337738c2f9f,4a0bc4b3-3ae8-4296-b637-bc39d0fbd76e,Got irritated when the internet dropped. Gaming is the only way I can escape my stress.,-0.685,2026-06-12T14:53:51.006955+00:00
bb211aec-55ec-435a-995b-d6d61ec36498,4a0bc4b3-3ae8-4296-b637-bc39d0fbd76e,Lost track of time again... played ranked matches until 4 AM. Skipped breakfast.,-0.434,2026-06-13T14:53:51.006955+00:00
8b855387-3833-46fc-a7e0-c9a0bdea82d8,4a0bc4b3-3ae8-4296-b637-bc39d0fbd76e,Skipped dinner to finish the tournament raid. My head aches and eyes are burning.,-0.549,2026-06-14T14:53:51.006955+00:00
2da7b6ac-2f47-477e-a545-b869c751883f,4a0bc4b3-3ae8-4296-b637-bc39d0fbd76e,Lost track of time again... played ranked matches until 4 AM. Skipped breakfast.,-0.558,2026-06-15T14:53:51.006955+00:00
c13ecc86-e1cc-421d-9186-a908c352b096,4a0bc4b3-3ae8-4296-b637-bc39d0fbd76e,Skipped dinner to finish the tournament raid. My head aches and eyes are burning.,-0.452,2026-06-16T14:53:51.006955+00:00
4a4f6134-f514-482b-b38c-1079123b8972,4a0bc4b3-3ae8-4296-b637-bc39d0fbd76e,Told my family I was studying but spent 8 hours grinding levels. Feeling exhausted.,-0.348,2026-06-17T14:53:51.006955+00:00
2dfe610d-654e-4b8f-ae0f-9775b9016a69,4a0bc4b3-3ae8-4296-b637-bc39d0fbd76e,Skipped dinner to finish the tournament raid. My head aches and eyes are burning.,-0.27,2026-06-18T14:53:51.006955+00:00
78e1d05c-7c20-4c73-8842-20533e260407,4a0bc4b3-3ae8-4296-b637-bc39d0fbd76e,Told my family I was studying but spent 8 hours grinding levels. Feeling exhausted.,-0.299,2026-06-19T14:53:51.006955+00:00
0ae70acb-67ea-42ce-a066-e305daf04209,4a0bc4b3-3ae8-4296-b637-bc39d0fbd76e,Got irritated when the internet dropped. Gaming is the only way I can escape my stress.,-0.659,2026-06-20T14:53:51.006955+00:00
